,Title,Author,ISBN Valid,Publisher,Subjects,i,titles_cleaned,subjects_cleaned,authors_cleaned,concepts
72,Le savoir-vivre professionnel : conseils pratiques et usages en Suisse /,"Abplanalp, Susanne",9782606016982; 260601698X,Editions Loisirs et Pédagogie,Sociologie du travail; Relations professionnelles--Suisse--20e siècle; Relations humaines; Savoir-vivre--Guides pratiques,72,Le savoir-vivre professionnel : conseils pratiques et usages en Suisse,sociologie travail relations professionnelles--suisse--e siècle humaines savoir-vivre--guides pratiques,abplanalp susanne,Le savoir-vivre professionnel : conseils pratiques et usages en Suisse abplanalp susanne sociologie travail relations professionnelles--suisse--e siècle humaines savoir-vivre--guides pratiques
73,Le droit du travail en Suisse : 90 questions-réponses issues de la pratique /,"Schwaab, Jean Christophe, 1979-",9782606016135; 2606016130,LEP Loisirs et pédagogie,Droit du travail--Suisse; Arbeitsrecht; Arbeitsvertrag; Schweiz; Lehrmittel; Guides pratiques,73,Le droit du travail en Suisse : 90 questions-réponses issues de la pratique,droit travail--suisse arbeitsrecht arbeitsvertrag schweiz lehrmittel guides pratiques,schwaab jean christophe -,Le droit du travail en Suisse : 90 questions-réponses issues de la pratique schwaab jean christophe - droit travail--suisse arbeitsrecht arbeitsvertrag schweiz lehrmittel guides pratiques
74,Turing à la plage : l'intelligence artificielle dans un transat /,"Guerraoui, Rachid",9782100795550; 2100795554,Dunod,"Informatique quantique; Turing, Alan; Intelligence artificielle",74,Turing à la plage : l'intelligence artificielle dans un transat,informatique quantique turing alan intelligence artificielle,guerraoui rachid,Turing à la plage : l'intelligence artificielle dans un transat guerraoui rachid informatique quantique turing alan intelligence artificielle
75,GTO : great teacher onizuka /,"Fujisawa, Tohru",9782811609665; 2811609660; 9782811609252; 2811609253; 9782811609474; 2811609474; 9782811607319; 2811607315; 9782811609368; 2811609369; 9782811607067; 2811607064; 9782811606794; 2811606793; 9782811606626; 2811606629; 9782811606237; 2811606238; 978281160585,Pika,Bandes dessinées; Mangas,75,GTO : great teacher onizuka,bandes dessinées mangas,fujisawa tohru,GTO : great teacher onizuka fujisawa tohru bandes dessinées mangas
76,Silver spoon = La cuillère d'argent /,"Arakawa, Hiromu, 1973-",9782351428344; 235142834X; 9782351428351; 2351428358; 9782351428856; 2351428854; 9782351428962; 235142896X; 9782351428979; 2351428978; 9782351429730; 2351429737; 9782351429747; 2351429745; 9782351429754; 2351429753; 9782368521120; 2368521127; 978236852113,Kurokawa,Bandes dessinées; Mangas,76,Silver spoon = La cuillère d'argent,bandes dessinées mangas,arakawa hiromu -,Silver spoon = La cuillère d'argent arakawa hiromu - bandes dessinées mangas
77,Ici /,"McGuire, Richard",9782070652440; 2070652440,Gallimard,Bandes dessinées,77,Ici,bandes dessinées,mcguire richard,Ici mcguire richard bandes dessinées
78,Fullmetal alchemist /,"Arakawa, Hiromu, 1973-",9782351427552; 2351427556; 9782351427521; 2351427521; 9782351428009; 2351428005; 9782351428016; 2351428013; 9782351428740; 2351428749; 9782351428863; 2351428862; 9782351428986; 2351428986; 9782351428993; 2351428994; 9782351429884; 2351429885; 978235142989,Kurokawa,Bandes dessinées; Mangas,78,Fullmetal alchemist,bandes dessinées mangas,arakawa hiromu -,Fullmetal alchemist arakawa hiromu - bandes dessinées mangas
79,La vierge de fer /,"Kishiro, Yukito",9782344018415; 2344018417,Glénat,Bandes dessinées; Mangas,79,La vierge de fer,bandes dessinées mangas,kishiro yukito,La vierge de fer kishiro yukito bandes dessinées mangas
80,Erased /,"Sanbe, Kei",9782355926990; 2355926999; 9782355927140; 2355927146; 9782355927430; 235592743X; 9782355927829; 2355927820; 9782355928307; 2355928304; 9782355929182; 2355929181; 9782355929762; 2355929769; 9791032700570; 9791032701799,Ki-oon,Mangas; Bandes dessinées,80,Erased,mangas bandes dessinées,sanbe kei,Erased sanbe kei mangas bandes dessinées
81,Kokkoku /,"Horio, Seita",9782723498142; 272349814X; 9782723498159; 2723498158; 9782723498166; 2723498166; 9782344008300; 2344008306; 9782344008317; 2344008314; 9782344013052; 2344013059; 9782344013069; 2344013067; 9782344013076; 2344013075,Glénat,Bandes dessinées; Mangas,81,Kokkoku,bandes dessinées mangas,horio seita,Kokkoku horio seita bandes dessinées mangas
82,Voleuse /,"Bryon, Lucie",9782377317813; 2377317812,Sarbacane,Bandes dessinées,82,Voleuse,bandes dessinées,bryon lucie,Voleuse bryon lucie bandes dessinées
83,L'ora del caffè : manuale di conversazione per generazioni incompatibili /,"Carofiglio, Gianrico, 1961-",9788806253219; 8806253212,Einaudi,,83,L'ora del caffè : manuale di conversazione per generazioni incompatibili,,carofiglio gianrico -,L'ora del caffè : manuale di conversazione per generazioni incompatibili carofiglio gianrico - 
84,Tombée d'une autre planète : d'après les aventures indécentes de Patricia Highsmith /,"Ellis, Grace 19..-....",9782702183311; 270218331X,Editions Calmann-Lévy,Bandes dessinées,84,Tombée d'une autre planète : d'après les aventures indécentes de Patricia Highsmith,bandes dessinées,ellis grace -,Tombée d'une autre planète : d'après les aventures indécentes de Patricia Highsmith ellis grace - bandes dessinées
85,Monsieur Remarquable /,"Tokarczuk, Olga",8366789306; 9788366789302,Format,,85,Monsieur Remarquable,,tokarczuk olga,Monsieur Remarquable tokarczuk olga 
86,Kimchi baguette : journal de bord d'une Coréenne en France ! /,Silki 1993-....,2205207954; 9782205207958,Dargaud,Bandes dessinées,86,Kimchi baguette : journal de bord d'une Coréenne en France !,bandes dessinées,silki -,Kimchi baguette : journal de bord d'une Coréenne en France ! silki - bandes dessinées
87,Océan express /,"Ayroles, François",9782844149367; 2844149367,L'Association,Bandes dessinées,87,Océan express,bandes dessinées,ayroles françois,Océan express ayroles françois bandes dessinées
88,Le petit robot de bois et la princesse bûche /,"Gauld, Tom",9782211313148; 2211313140,l'École des loisirs,Robots; Frères et soeurs; Livres d'images,88,Le petit robot de bois et la princesse bûche,robots frères soeurs livres dimages,gauld tom,Le petit robot de bois et la princesse bûche gauld tom robots frères soeurs livres dimages
89,La mort n'est que le début... de l'enquête du médecin légiste /,"Grabherr, Silke",9782828916404; 2828916405,Favre,Médecine légale; Thanatologie; Cadavres; Forensic Medicine--trends; Autopsy--methods; Switzerland,89,La mort n'est que le début... de l'enquête du médecin légiste,médecine légale thanatologie cadavres forensic medicine--trends autopsy--methods switzerland,grabherr silke,La mort n'est que le début... de l'enquête du médecin légiste grabherr silke médecine légale thanatologie cadavres forensic medicine--trends autopsy--methods switzerland
90,The talk : tu seras toujours un danger à leurs yeux /,"Bell, Darrin 19..-....",9782260056072; 2260056075,Julliard,Bandes dessinées; Conditions sociales--États-Unis; Noirs américains--Violence envers,90,The talk : tu seras toujours un danger à leurs yeux,bandes dessinées conditions sociales--états-unis noirs américains--violence,bell darrin -,The talk : tu seras toujours un danger à leurs yeux bell darrin - bandes dessinées conditions sociales--états-unis noirs américains--violence
91,Kaiju N°8 /,"Matsumoto, Naoya",9782820341075; 2820341071; 9782820342348; 2820342345; 9782820343093; 2820343090; 9782820343109; 2820343104; 9782820343116; 2820343112; 9782820343888; 2820343880; 9782820344076; 2820344070; 9782820346018; 2820346014; 9782820346216; 2820346219; 978282034648,Kazé,Shônen; Mangas,91,Kaiju N°8,shônen mangas,matsumoto naoya,Kaiju N°8 matsumoto naoya shônen mangas
92,Le sablier /,"Ashihara, Hinako",9782505002901; 2505002908; 9782505003298; 2505003297; 9782505003168; 2505003165; 9782505004073; 2505004072; 9782505004363; 2505004366; 9782505005155; 250500515X; 9782505005322; 250500532X; 9782505005612; 2505005613; 9782505006053; 2505006059; 978250500717,Kana,Bandes dessinées; Mangas,92,Le sablier,bandes dessinées mangas,ashihara hinako,Le sablier ashihara hinako bandes dessinées mangas
93,Hirayasumi /,"Shinzo, Keigo, 1987-",9782353482788; 2353482783; 9782353482795; 2353482791; 9782353483334; 235348333X; 9782353483525; 2353483526; 9782353483570; 2353483577,Le Lezard noir,Mangas; Mangas.,93,Hirayasumi,mangas,shinzo keigo -,Hirayasumi shinzo keigo - mangas
94,Que faire de l'intelligence artificielle? : petite histoire critique de la raison artificielle /,"García, Vivien 1983-....",9782743659042; 2743659041,Payot & Rivages,Intelligence artificielle,94,Que faire de l'intelligence artificielle? : petite histoire critique de la raison artificielle,intelligence artificielle,garcía vivien -,Que faire de l'intelligence artificielle? : petite histoire critique de la raison artificielle garcía vivien - intelligence artificielle
95,Akane banashi /,"Suenaga, Yuki 19..-....",9791032715413; 9791032715420; 9791032715437; 9791032715857,Ki-oon,Mangas; Mangas.,95,Akane banashi,mangas,suenaga yuki -,Akane banashi suenaga yuki - mangas
96,Des maux à dire /,"Lema, Beatriz 1985-....",9.79104E+12,Sarbacane,Bandes dessinées; Mères et filles; Maladies mentales; Récits personnels; Romans graphiques,96,Des maux à dire,bandes dessinées mères filles maladies mentales récits personnels romans graphiques,lema beatriz -,Des maux à dire lema beatriz - bandes dessinées mères filles maladies mentales récits personnels romans graphiques
97,Il y a longtemps que je t'aime /,"Spénale, Marie",2203276509; 9782203276505,Casterman,Bandes dessinées,97,Il y a longtemps que je t'aime,bandes dessinées,spénale marie,Il y a longtemps que je t'aime spénale marie bandes dessinées
98,Regarde les lumières mon amour /,"Ernaux, Annie",9782370210371; 2370210370,Seuil,,98,Regarde les lumières mon amour,,ernaux annie,Regarde les lumières mon amour ernaux annie 
99,Peau /,"Versyp, Mieke 1965-....",9782369903093; 2369903090,Çà et là,Bandes dessinées.; Romans graphiques.,99,Peau,bandes dessinées romans graphiques,versyp mieke -,Peau versyp mieke - bandes dessinées romans graphiques
100,Fruits basket : une corbeille de fruits /,"Takaya, Natsuki",2840559188; 9782840559184; 9782840559481; 284055948X; 9782840559870; 2840559870; 2847890319; 9782847890310; 2847891285; 9782847891287; 2847891439; 9782847891430; 2847891927; 9782847891928; 2847893059; 9782847893052; 2847893571; 9782847893571; 978284789406,Delcourt,Shojo; Bandes dessinées; Ouvrages pour la jeunesse; Mangas,100,Fruits basket : une corbeille de fruits,shojo bandes dessinées ouvrages jeunesse mangas,takaya natsuki,Fruits basket : une corbeille de fruits takaya natsuki shojo bandes dessinées ouvrages jeunesse mangas
101,Orange /,"Takano, Ichigo",9782369740315; 2369740310; 9782369740384; 2369740388; 9782369740537; 2369740531; 9782369740711; 236974071X; 9782369741121; 2369741120; 9782369742791; 2369742798; 9782382124291; 2382124296,Akata,Mangas,101,Orange,mangas,takano ichigo,Orange takano ichigo mangas
102,"Manifeste cyborg et autres essais : sciences, fictions, féminismes /","Haraway, Donna Jeanne",9782912969637; 2912969638,Exils Editeur,Anthropologie physique; Sciences et société; Théorie féministe; Technologie--Aspect social; féminisme--[études diverses]; culture--féminisme--nature--science--[études diverses]; Technologie; Identité sexuelle; Race,102,"Manifeste cyborg et autres essais : sciences, fictions, féminismes",anthropologie physique sciences société théorie féministe technologie--aspect social féminisme--études diverses culture--féminisme--nature--science--études technologie identité sexuelle race,haraway donna jeanne,"Manifeste cyborg et autres essais : sciences, fictions, féminismes haraway donna jeanne anthropologie physique sciences société théorie féministe technologie--aspect social féminisme--études diverses culture--féminisme--nature--science--études technologie identité sexuelle race"
103,Bride stories /,"Mori, Kaoru",9782355922749; 2355922748; 9782355923081; 2355923086; 9782355923371; 235592337X; 9782355924354; 235592435X; 9782355925771; 2355925771; 9782355926556; 2355926557; 9782355928635; 2355928630; 9782355929922; 2355929920; 9791032700624; 9791032702413; 979103270,Ki-oon,Mariage forcé--Asie centrale; Voyage; Mangas,103,Bride stories,mariage forcé--asie centrale voyage mangas,mori kaoru,Bride stories mori kaoru mariage forcé--asie centrale voyage mangas
104,La littérature : une infographie /,"Gefen, Alexandre professeur de littérature 1970-....",9782271138569; 2271138566,CNRS Éditions,Littérature--Histoire.; Data visualisation.; Ouvrages illustrés.; Ouvrages de vulgarisation.,104,La littérature : une infographie,littérature--histoire data visualisation ouvrages illustrés vulgarisation,gefen alexandre professeur littérature -,La littérature : une infographie gefen alexandre professeur littérature - littérature--histoire data visualisation ouvrages illustrés vulgarisation
